"code","col_1","col_2","col_3","col_4","col_5","col_6","col_7","col_8","col_9","col_10","col_11","col_12","col_13","col_14","col_15","col_16"
1,1193.94,1222.87,1273.02,1373.32,1465.9,1535.34,1633.71,1649.14,2852.72,2931.8,3300.2,,,,,
1,1193.94,1222.87,1271.09,1367.53,1465.9,1631.78,1651.07,2854.65,2927.94,3296.35,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1463.97,1631.78,1651.07,2856.58,2926.01,3296.35,,,,,,
1,1192.01,1222.87,1273.02,1377.17,1465.9,1529.55,1631.78,1654.92,2858.51,2937.59,3300.2,,,,,
1,1195.87,1222.87,1271.09,1371.39,1465.9,1633.71,1651.07,2858.51,2929.87,3300.2,,,,,,
1,1193.94,1222.87,1273.02,1367.53,1463.97,1535.34,1637.56,1645.28,2858.51,2933.73,3300.2,,,,,
1,1192.01,1222.87,1269.16,1369.46,1460.11,1633.71,1651.07,2858.51,2937.59,3300.2,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1463.97,1633.71,1651.07,2854.65,2933.73,3292.49,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1463.97,1537.27,1633.71,1651.07,2852.72,2931.8,3298.28,,,,,
1,1193.94,1222.87,1271.09,1365.6,1463.97,1529.55,1631.78,1651.07,2854.65,2931.8,3294.42,,,,,
1,1193.94,1224.8,1274.95,1375.25,1465.9,1529.55,1631.78,1647.21,2856.58,2933.73,3296.35,,,,,
1,1193.94,1222.87,1273.02,1371.39,1529.55,1633.71,1647.21,2858.51,2935.66,3298.28,,,,,,
1,1193.94,1224.8,1271.09,1369.46,1463.97,1633.71,1656.85,2856.58,2937.59,3296.35,,,,,,
1,1193.94,1224.8,1269.16,1365.6,1465.9,1645.28,2850.79,2935.66,3290.56,,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1463.97,1631.78,1651.07,2858.51,2935.66,3302.13,,,,,,
1,1193.94,1222.87,1273.02,1379.1,1467.83,1527.62,1635.64,1651.07,2852.72,2926.01,3292.49,,,,,
1,1193.94,1222.87,1271.09,1371.39,1465.9,1527.62,1633.71,1651.07,2856.58,2933.73,3298.28,,,,,
1,1195.87,1224.8,1273.02,1369.46,1465.9,1527.62,1631.78,1651.07,2858.51,2935.66,3298.28,,,,,
1,1193.94,1222.87,1271.09,1369.46,1465.9,1631.78,1645.28,2858.51,2931.8,3296.35,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1463.97,1635.64,1645.28,2856.58,2933.73,3296.35,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1465.9,1656.85,2858.51,2935.66,3300.2,,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1465.9,1629.85,1643.35,2854.65,2939.52,3296.35,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1463.97,1539.2,1656.85,2856.58,2935.66,3304.06,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1463.97,1537.27,1631.78,1651.07,2858.51,3300.2,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1633.71,1656.85,2856.58,2937.59,3296.35,,,,,,,
1,1195.87,1222.87,1271.09,1371.39,1463.97,1539.2,1631.78,1649.14,2854.65,2933.73,3292.49,,,,,
1,1193.94,1222.87,1271.09,1367.53,1463.97,1631.78,1643.35,2856.58,3298.28,,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1465.9,1631.78,1643.35,2856.58,2931.8,3294.42,,,,,,
1,1193.94,1222.87,1271.09,1367.53,1467.83,1631.78,1643.35,2856.58,2933.73,3302.13,,,,,,
1,1193.94,1222.87,1271.09,1369.46,1463.97,1631.78,1645.28,2854.65,2935.66,3296.35,,,,,,
2,840.96,974.05,999.13,1170.79,1379.1,1456.26,2839.22,2922.16,2949.16,,,,,,,
2,840.96,974.05,997.2,1168.86,1377.17,1454.33,2839.22,2922.16,2953.02,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2920.23,2954.95,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1452.4,2839.22,2920.23,2956.87,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2951.09,,,,,,,
2,842.89,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2954.95,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2953.02,,,,,,,
2,840.96,974.05,999.13,1168.86,1379.1,1454.33,2839.22,,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2951.09,,,,,,,,
2,839.03,974.05,999.13,1170.79,1379.1,1454.33,2839.22,2922.16,2951.09,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1452.4,2841.15,2922.16,2949.16,,,,,,,
2,840.96,974.05,997.2,1168.86,1377.17,1454.33,2839.22,2920.23,2951.09,,,,,,,
2,842.89,974.05,999.13,1170.79,1379.1,1462.04,2839.22,,,,,,,,,
2,842.89,975.98,999.13,1170.79,1379.1,1462.04,2839.22,2953.02,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2924.09,2956.87,,,,,,,
2,840.96,972.12,997.2,1168.86,1377.17,1456.26,2839.22,2922.16,2949.16,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2953.02,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2953.02,,,,,,,
2,840.96,972.12,999.13,1168.86,1377.17,1454.33,2839.22,2922.16,2951.09,,,,,,,
2,842.89,997.2,1170.79,1377.17,1454.33,2839.22,2924.09,2953.02,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2924.09,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1452.4,2839.22,2920.23,2953.02,,,,,,,
2,840.96,974.05,999.13,1170.79,1379.1,1454.33,2839.22,2922.16,2953.02,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2954.95,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1456.26,2839.22,2924.09,2953.02,,,,,,,
2,840.96,974.05,997.2,1168.86,1377.17,1454.33,2839.22,,,,,,,,,
2,840.96,974.05,997.2,1168.86,1377.17,1454.33,2839.22,2920.23,2953.02,,,,,,,
2,842.89,974.05,999.13,1168.86,1379.1,1462.04,2839.22,,,,,,,,,
2,840.96,974.05,999.13,1168.86,1377.17,1454.33,2839.22,2958.8,,,,,,,,
2,840.96,974.05,999.13,1168.86,1379.1,1460.11,2839.22,2924.09,2953.02,,,,,,,
3,761.88,964.41,1028.06,1452.4,1492.9,1583.56,1600.92,2920.23,3028.24,3061.03,,,,,,
3,756.1,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2924.09,3026.31,3061.03,3082.25,,,
3,759.95,962.48,1028.06,1454.33,1494.83,1529.55,1539.2,1546.91,1583.56,1602.85,2922.16,3026.31,3057.17,,,
3,750.31,964.41,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2920.23,3003.17,3028.24,3062.96,3082.25,3103.46,
3,763.81,964.41,1028.06,1452.4,1494.83,1525.69,1541.12,1583.56,1600.92,2850.79,2929.87,3003.17,3028.24,3061.03,3082.25,3101.54
3,759.95,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3101.54,
3,756.1,964.41,1028.06,1452.4,1492.9,1539.2,1543.05,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3101.54
3,754.17,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2852.72,2924.09,3003.17,3028.24,3061.03,3082.25,3101.54,
3,964.41,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2927.94,3003.17,3026.31,3059.1,3082.25,3101.54,,
3,763.81,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2924.09,3003.17,3028.24,3061.03,3082.25,3101.54,
3,759.95,964.41,1028.06,1452.4,1492.9,1543.05,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3103.46,
3,754.17,964.41,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2926.01,3001.24,3024.38,3061.03,3078.39,,
3,763.81,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2926.01,3003.17,3028.24,3061.03,3082.25,3101.54,
3,763.81,964.41,1029.99,1454.33,1494.83,1600.92,2852.72,2927.94,3003.17,3028.24,3061.03,3082.25,,,,
3,758.02,964.41,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3101.54,
3,761.88,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2924.09,3003.17,3026.31,3061.03,3082.25,3101.54,
3,758.02,964.41,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2922.16,3003.17,3026.31,3061.03,3082.25,3101.54,
3,759.95,964.41,1028.06,1452.4,1492.9,1543.05,1583.56,1600.92,2850.79,2924.09,3003.17,3028.24,3061.03,3082.25,3101.54,
3,759.95,964.41,1028.06,1452.4,1494.83,1541.12,1583.56,1602.85,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3101.54,
3,759.95,964.41,1028.06,1452.4,1492.9,1541.12,1558.48,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3101.54
3,759.95,962.48,1028.06,1452.4,1492.9,1539.2,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3103.46,
3,761.88,964.41,1028.06,1452.4,1494.83,1543.05,1564.27,1583.56,1600.92,2852.72,2926.01,3003.17,3028.24,3061.03,3082.25,
3,761.88,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,,
3,759.95,964.41,1029.99,1452.4,1492.9,1543.05,1583.56,1602.85,2850.79,2924.09,3003.17,3026.31,3061.03,3082.25,3101.54,
3,763.81,964.41,1028.06,1452.4,1494.83,1539.2,1583.56,1602.85,2850.79,2926.01,3003.17,3028.24,3061.03,3082.25,3101.54,
3,761.88,964.41,1028.06,1452.4,1494.83,1539.2,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,3103.46,
3,763.81,1028.06,1454.33,1494.83,1583.56,1602.85,2850.79,2926.01,3028.24,3061.03,3082.25,,,,,
3,759.95,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2926.01,3003.17,3026.31,3061.03,3082.25,,
3,758.02,964.41,1028.06,1452.4,1492.9,1541.12,1583.56,1600.92,2850.79,2926.01,3026.31,3061.03,3082.25,,,
3,758.02,964.41,1028.06,1452.4,1492.9,1535.34,1546.91,1583.56,1600.92,2850.79,2924.09,3003.17,3026.31,3061.03,3082.25,
4,968.27,1097.5,1255.66,1330.88,1435.04,,,,,,,,,,,
4,702.09,968.27,1097.5,1253.73,1328.95,1433.11,,,,,,,,,,
4,966.34,1099.43,1247.94,1328.95,1429.25,,,,,,,,,,,
4,968.27,1099.43,1255.66,1328.95,1433.11,,,,,,,,,,,
4,705.95,968.27,1095.57,1328.95,1435.04,,,,,,,,,,,
4,966.34,1097.5,1251.8,1328.95,1427.32,,,,,,,,,,,
4,964.41,1101.35,1255.66,1328.95,1435.04,,,,,,,,,,,
4,702.09,964.41,1099.43,1255.66,1328.95,1427.32,1435.04,,,,,,,,,
4,705.95,966.34,1099.43,1253.73,1328.95,1427.32,1435.04,,,,,,,,,
4,968.27,1099.43,1255.66,1330.88,1435.04,,,,,,,,,,,
4,966.34,1099.43,1253.73,1330.88,1435.04,,,,,,,,,,,
4,966.34,1099.43,1255.66,1328.95,1433.11,,,,,,,,,,,
4,970.19,1103.28,1330.88,1427.32,1435.04,,,,,,,,,,,
4,709.8,968.27,1099.43,1253.73,1328.95,1435.04,,,,,,,,,,
4,966.34,1097.5,1253.73,1332.81,1436.97,,,,,,,,,,,
4,968.27,1095.57,1255.66,1330.88,1425.4,1433.11,,,,,,,,,,
4,968.27,1101.35,1255.66,1332.81,1435.04,,,,,,,,,,,
4,966.34,1101.35,1257.59,1328.95,1435.04,,,,,,,,,,,
4,968.27,1099.43,1255.66,1328.95,1427.32,1435.04,,,,,,,,,,
4,968.27,1099.43,1255.66,1330.88,1436.97,,,,,,,,,,,
4,966.34,1099.43,1255.66,1330.88,,,,,,,,,,,,
4,702.09,968.27,1099.43,1251.8,1328.95,1433.11,,,,,,,,,,
4,968.27,1101.35,1253.73,1328.95,1433.11,,,,,,,,,,,
4,968.27,1099.43,1253.73,1330.88,1435.04,,,,,,,,,,,
4,704.02,966.34,1097.5,1253.73,1330.88,1435.04,,,,,,,,,,
4,968.27,1101.35,1253.73,1330.88,1427.32,1433.11,,,,,,,,,,
4,966.34,1099.43,1257.59,1330.88,1427.32,1435.04,,,,,,,,,,
4,702.09,966.34,1099.43,1257.59,1330.88,1435.04,,,,,,,,,,
4,966.34,1099.43,1253.73,1328.95,1433.11,,,,,,,,,,,
4,968.27,1097.5,1255.66,1327.03,1427.32,1435.04,,,,,,,,,,
5,889.18,910.4,1463.97,2848.86,2929.87,,,,,,,,,,,
5,719.45,731.02,1463.97,2854.65,2933.73,,,,,,,,,,,
5,721.38,729.09,771.53,906.54,912.33,1463.97,2852.72,2929.87,,,,,,,,
5,719.45,731.02,1463.97,2856.58,2933.73,,,,,,,,,,,
5,721.38,729.09,1465.9,2850.79,2856.58,2926.01,2931.8,,,,,,,,,
5,721.38,771.53,779.24,1463.97,2856.58,2933.73,,,,,,,,,,
5,721.38,1463.97,2850.79,2929.87,,,,,,,,,,,,
5,721.38,731.02,1467.83,2854.65,2927.94,,,,,,,,,,,
5,723.31,1467.83,2856.58,2929.87,,,,,,,,,,,,
5,721.38,1471.69,2854.65,,,,,,,,,,,,,
5,715.59,721.38,731.02,771.53,775.38,893.04,912.33,1463.97,2852.72,2929.87,,,,,,
5,719.45,731.02,773.46,1463.97,2854.65,2929.87,,,,,,,,,,
5,723.31,779.24,891.11,906.54,1467.83,2927.94,,,,,,,,,,
5,719.45,729.09,777.31,891.11,914.26,1379.1,1465.9,2852.72,,,,,,,,
5,719.45,731.02,775.38,1463.97,2850.79,2927.94,,,,,,,,,,
5,719.45,731.02,1463.97,,,,,,,,,,,,,
5,721.38,731.02,1463.97,2848.86,2854.65,2927.94,,,,,,,,,,
5,723.31,729.09,773.46,889.18,1465.9,2854.65,2924.09,,,,,,,,,
5,717.52,729.09,771.53,893.04,912.33,1465.9,2931.8,,,,,,,,,
5,729.09,777.31,914.26,2858.51,2929.87,,,,,,,,,,,
5,721.38,731.02,771.53,1467.83,2929.87,,,,,,,,,,,
